word,count
gefangenen,3486
möchten,3485
höhere,3483
umstände,3483
gewußt,3482
sollt,3481
eingang,3479
unglücklichen,3478
abgesehen,3477
annahme,3477
pflegt,3477
erblickte,3473
geschäfte,3472
gerechtigkeit,3469
wüste,3468
überlassen,3460
läuft,3447
blüten,3440
ältesten,3439
fürchte,3439
entsteht,3436
unruhe,3429
berühmten,3428
römer,3428
falsch,3427
musste,3427
angesehen,3417
mitglieder,3417
gewohnheit,3416
geistlichen,3415
gelehrten,3413
vornehmen,3412
deutsch,3409
geöffnet,3408
riefen,3408
selben,3408
ordentlich,3407
ursprünglich,3406
erlaubt,3402
kleidung,3401
äußere,3399
wände,3395
genuß,3389
beschlossen,3382
maße,3381
stufen,3379
außerhalb,3359
verlag,3355
gefällt,3351
aufrecht,3347
einrichtung,3347
hinsicht,3347
erreichte,3344
reichlich,3343
unbedingt,3336
ansichten,3333
dreißig,3331
märchen,3331
getrennt,3328
unterwegs,3326
erwartete,3325
vorzüglich,3325
notwendigkeit,3324
berührung,3315
bewußt,3312
nahen,3312
daür,3309
verändert,3307
ahnung,3297
ausgeführt,3294
spanischen,3293
überzeugung,3293
geliebte,3289
daürte,3288
hochzeit,3286
versprechen,3286
betrachtung,3283
öffnen,3283
vergeblich,3283
eintreten,3279
berichtet,3278
gebet,3276
rechnung,3274
erschrocken,3267
silber,3264
gewohnt,3260
fortwährend,3257
kaufen,3251
lehnte,3249
tatsächlich,3248
gesucht,3247
schriftsteller,3246
versetzt,3244
versammlung,3235
anzunehmen,3219
zeugen,3216
gipfel,3214
wohnte,3214
beruf,3213
dunkelheit,3207
gelebt,3203
behauptet,3199
einsicht,3198
heiße,3195
bezahlen,3193
schwäche,3192
leichte,3186
auftreten,3171
herüber,3158
treibt,3153
geräusch,3146
erlauben,3145
verschwinden,3139
veränderung,3130
möglichen,3122
sogenannte,3115
gelegentlich,3114
ausgesprochen,3099
brauche,3089
stecken,3089
weich,3083
anzusehen,3081
auflage,3080
dieß,3080
universität,3075
verbreitet,3074
benehmen,3072
verfügung,3071
erfüllen,3068
erlebt,3066
königlichen,3062
leitung,3059
zeitungen,3056
berührt,3053
genannten,3043
gefährlich,3040
ausgabe,3036
einziger,3035
römische,3032
fische,3030
durch das,3021
besetzt,3015
verlauf,3012
ewigkeit,3010
bedeuten,3000
bedeutende,3000
leiche,2991
süße,2991
besuchte,2989
reichtum,2988
mächtige,2986
bezeichnen,2983
heiter,2983
fuße,2976
umgekehrt,2974
frischen,2972
verschaffen,2971
fähig,2953
beschreibung,2948
zweige,2945
beobachtung,2943
gruß,2941
wächst,2939
küssen,2937
regie,2933
andererseits,2931
lieder,2931
vorkommen,2931
schrecklich,2930
gewann,2927
aufgestellt,2920
schnitt,2915
arbeitete,2914
fünfzig,2914
stufe,2894
gemälde,2888
flüssigkeit,2883
gefragt,2883
schließt,2880
frühstück,2879
verfolgt,2879
glücklichen,2873
vorschlag,2864
entsetzen,2863
ausschließlich,2859
gemeinen,2858
deutschlands,2851
verzeihen,2847
bekommt,2844
persönlich,2844
bezahlt,2843
gemeint,2843
steckt,2843
dampfer,2837
schwelle,2834
vorteil,2833
bleibe,2828
ältere,2826
verkauft,2825
lösen,2820
gemäß,2819
entscheidung,2818
besorgt,2816
spannung,2816
büchern,2813
verwendung,2813
turm,2809
betrug,2805
klopfte,2791
unglücklich,2786
auftrag,2783
nächte,2782
erzeugt,2778
höhen,2778
gewählt,2775
erfüllte,2769
unteren,2769
unterricht,2768
wehe,2768
beispiele,2767
reicher,2764
ähnlichen,2762
gefiel,2761
gespielt,2761
vorläufig,2761
süß,2758
kampfe,2752
schiffen,2752
